"동별(1)",동별(2),동별(3),2024,2024,2024
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",소계,소계,9597372,605.21,15858
"합계",종로구,소계,149608,23.91,6256
"합계",중구,소계,131214,9.96,13174
"합계",용산구,소계,217194,21.87,9932
"합계",성동구,소계,281289,16.82,16723
"합계",광진구,소계,348652,17.06,20433
"합계",동대문구,소계,358603,14.22,25226
"합계",중랑구,소계,385349,18.50,20832
"합계",성북구,소계,435037,24.58,17700
"합계",강북구,소계,289374,23.61,12258
"합계",도봉구,소계,306032,20.65,14819
"합계",노원구,소계,496552,35.44,14010
"합계",은평구,소계,465350,29.71,15663
"합계",서대문구,소계,318622,17.63,18073
"합계",마포구,소계,372745,23.85,15626
"합계",양천구,소계,434351,17.41,24953
"합계",강서구,소계,562194,41.45,13563
"합계",구로구,소계,411916,20.12,20472
"합계",금천구,소계,239070,13.02,18364
"합계",영등포구,소계,397173,24.55,16177
"합계",동작구,소계,387352,16.35,23684
"합계",관악구,소계,495620,29.57,16762
"합계",서초구,소계,413076,46.97,8795
"합계",강남구,소계,563215,39.50,14259
"합계",송파구,소계,656310,33.88,19374
"합계",강동구,소계,481474,24.59,19580
